no.,name,art
1,Sprigatito,https://static.wikia.nocookie.net/pokemon/images/8/8b/906Sprigatito.png/revision/latest/scale-to-width-down/100?cb=20220227145702
2,Floragato,https://static.wikia.nocookie.net/pokemon/images/e/e2/907Floragato.png/revision/latest/scale-to-width-down/100?cb=20230115160445
3,Meowscarada,https://static.wikia.nocookie.net/pokemon/images/3/36/907.png/revision/latest?cb=20230418172229
4,Fuecoco,https://static.wikia.nocookie.net/pokemon/images/d/d7/908Meowscarada.png/revision/latest/scale-to-width-down/100?cb=20230115160331
5,Crocalor,https://static.wikia.nocookie.net/pokemon/images/a/aa/908.png/revision/latest?cb=20230418172302
6,Skeledirge,https://static.wikia.nocookie.net/pokemon/images/2/2d/909Fuecoco.png/revision/latest/scale-to-width-down/100?cb=20220227145814
7,Quaxly,https://static.wikia.nocookie.net/pokemon/images/9/94/909.png/revision/latest?cb=20230418172325
8,Quaxwell,https://static.wikia.nocookie.net/pokemon/images/e/e9/910Crocalor.png/revision/latest/scale-to-width-down/100?cb=20230115160215
9,Quaquaval,https://static.wikia.nocookie.net/pokemon/images/9/96/Crocalor_icon.webp/revision/latest/scale-to-width-down/60?cb=20221203042544
10,Lechonk,https://static.wikia.nocookie.net/pokemon/images/7/7a/911Skeledirge.png/revision/latest/scale-to-width-down/100?cb=20230115160043
11,Oinkologne,https://static.wikia.nocookie.net/pokemon/images/f/fe/Menu_SV_Skeledirge.png/revision/latest/scale-to-width-down/60?cb=20221203042748
